Commodity Desc,Unit Desc,Domain Desc,Domaincat Desc,Short Desc,Long Desc,Agg Level Desc,State Name,Year,Published Estimate,State Ansi
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ALABAMA,2011,3,1
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ALABAMA,2014,15,1
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ALABAMA,2015,22,1
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ALABAMA,2016,18,1
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ALABAMA,2019,11,1
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ALASKA,2011,4,2
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ALASKA,2014,7,2
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ALASKA,2015,4,2
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ALASKA,2016,8,2
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ALASKA,2019,8,2
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ARIZONA,2011,29,4
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ARIZONA,2014,61,4
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ARIZONA,2015,48,4
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ARIZONA,2016,38,4
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ARIZONA,2019,62,4
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ARKANSAS,2011,10,5
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ARKANSAS,2014,26,5
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ARKANSAS,2015,32,5
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ARKANSAS,2016,64,5
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ARKANSAS,2019,67,5
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,CALIFORNIA,2011,"1,884",6
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,CALIFORNIA,2014,"2,632",6
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,CALIFORNIA,2015,"2,635",6
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,CALIFORNIA,2016,"2,713",6
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,CALIFORNIA,2019,"3,012",6
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,COLORADO,2011,117,8
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,COLORADO,2014,134,8
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,COLORADO,2015,133,8
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,COLORADO,2016,181,8
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,COLORADO,2019,238,8
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,CONNECTICUT,2011,35,9
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,CONNECTICUT,2014,78,9
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,CONNECTICUT,2015,59,9
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,CONNECTICUT,2016,57,9
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,CONNECTICUT,2019,63,9
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,DELAWARE,2011,4,10
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,DELAWARE,2014,6,10
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,DELAWARE,2015,3,10
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,DELAWARE,2016,2,10
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,DELAWARE,2019,12,10
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,FLORIDA,2011,91,12
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,FLORIDA,2014,146,12
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,FLORIDA,2015,159,12
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,FLORIDA,2016,123,12
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,FLORIDA,2019,126,12
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,GEORGIA,2011,39,13
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,GEORGIA,2014,86,13
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,GEORGIA,2015,93,13
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,GEORGIA,2016,83,13
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,GEORGIA,2019,102,13
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,HAWAII,2011,103,15
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,HAWAII,2014,121,15
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,HAWAII,2015,119,15
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,HAWAII,2016,113,15
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,HAWAII,2019,129,15
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,IDAHO,2011,142,16
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,IDAHO,2014,151,16
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,IDAHO,2015,168,16
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,IDAHO,2016,166,16
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,IDAHO,2019,240,16
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ILLINOIS,2011,135,17
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ILLINOIS,2014,215,17
AG LAND,OPERATIONS,ORGANIC STATUS,ORGANIC STATUS: (NOP USDA CERTIFIED),"AG LAND, ORGANIC - NUMBER OF OPERATIONS","AG LAND, ORGANIC - NUMBER OF OPERATIONS - WHERE ORGANIC STATUS: (NOP USDA CERTIFIED)",STATE,ILLINOIS,2015,196,17
